#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
301531:6110,08/21/17 18:34:34,390,390,49.648982423,48.371775117
301532:6110,08/21/17 21:12:59,611,611,63.969619346,62.657288975
301567:6114,08/22/17 08:47:34,354,354,65.510035314,63.339394859
301627:6116,08/22/17 23:22:52,884,884,133.993213902,131.459419297
301664:6119,08/23/17 12:25:09,406,406,72.189255762,70.386121559
301665:6119,08/23/17 15:07:51,463,463,69.777092945,68.033935447
301694:6123,08/24/17 04:24:33,64,64,18.344766641,17.576372893
301912:6136,08/26/17 13:57:23,325,325,39.230334059,38.278525156
301913:6136,08/26/17 16:26:53,54,54,6.161670651,5.957839622
301914:6136,08/26/17 16:50:05,350,350,36.518759042,35.547413922
301941:6138,08/27/17 09:33:12,535,535,76.758284355,74.506651908
301959:6140,08/27/17 18:24:12,1903,1903,282.904403438,275.846203245
301960:6140,08/28/17 06:47:35,147,147,14.556974326,14.257567821
301970:6141,08/28/17 10:42:12,118,118,23.055199137,22.349098495
301984:6142,08/28/17 14:14:11,290,290,57.164386869,55.474661881
301985:6142,08/28/17 16:11:52,357,357,61.627114319,60.037888558
301986:6142,08/28/17 18:34:30,376,376,55.520605736,54.356914285
301987:6142,08/28/17 21:03:26,1128,1128,124.891454818,122.752521191
301997:6143,08/29/17 06:56:05,355,355,67.254330177,65.075701928
301998:6143,08/29/17 09:19:31,1704,1704,221.794374583,217.462642023
302019:6146,08/30/17 03:42:03,50,50,9.470153723,9.112865051
302026:6147,08/30/17 06:49:55,28,28,4.792767197,4.651888352
302029:6147,08/30/17 07:16:38,79,79,16.025900758,15.281543589
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#57,145,51575,51575,10235.608745224,9572.666847999
#Check JSON:
#(run,ls) in json but not in results: []
